id_categoria;categoria
1;EA     
2;EAE    
3;EC     
4;EG     
5;ER     
6;I      
7;IE     
8;IE10   
9;IEE    
10;IEEE   
11;II     
12;IIA    
13;IIE    
14;III    
15;IIIE   
16;IV     
17;IVE    
18;IX     
19;IXE    
20;POLCA  
21;V      
22;VE     
23;VI     
24;VIE    
25;VII    
26;VIIE   
27;VIII   
28;VIIIE  
29;EA*    
30;EAE*   
31;EC*    
32;EG*    
33;ER*    
34;I*     
35;IE*    
36;IE10*  
37;IEE*   
38;IEEE*  
39;II*    
40;IIA*   
41;IIE*   
42;III*   
43;IIIE*  
44;IV*    
45;IVE*   
46;IX*    
47;IXE*   
48;POLCA* 
49;V*     
50;VE*    
51;VI*    
52;VIE*   
53;VII*   
54;VIIE*  
55;VIII*  
56;VIIIE* 
